resultId,raceId,driverId,constructorId,number,grid,finishPosition,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,forename,surname,driverName,gridPosition,Grand Prix,year
22189,902,824,206,17,19,16,16,16,0.0,56,\N,\N,44,22,102.175,190.684,11,Jules,Bianchi,Jules Bianchi,20.0,Bahrain Grand Prix,2014
22190,902,18,1,22,6,17,17,17,0.0,55,\N,\N,37,10,99.565,195.683,8,Jenson,Button,Jenson Button,7.0,Bahrain Grand Prix,2014
22191,902,825,1,20,8,\N,R,18,0.0,40,\N,\N,40,14,100.108,194.621,8,Kevin,Magnussen,Kevin Magnussen,9.0,Bahrain Grand Prix,2014
22192,902,821,15,21,15,\N,R,19,0.0,39,\N,\N,32,16,100.698,193.481,4,Esteban,Gutiérrez,Esteban Gutiérrez,15.0,Bahrain Grand Prix,2014
22193,902,828,207,9,20,\N,R,20,0.0,33,\N,\N,28,17,101.134,192.647,31,Marcus,Ericsson,Marcus Ericsson,21.0,Bahrain Grand Prix,2014
22194,902,818,5,25,14,\N,R,21,0.0,18,\N,\N,16,19,101.65,191.669,31,Jean-Éric,Vergne,Jean-Éric Vergne,14.0,Bahrain Grand Prix,2014
22195,902,16,15,99,22,\N,R,22,0.0,17,\N,\N,9,20,101.791,191.403,4,Adrian,Sutil,Adrian Sutil,18.0,Bahrain Grand Prix,2014
22196,903,1,131,44,1,1,1,1,25.0,54,33:28.3,5608338,42,2,101.196,193.916,1,Lewis,Hamilton,Lewis Hamilton,1.0,Chinese Grand Prix,2014
22197,903,3,131,6,4,2,2,2,18.0,54,18.062,5626400,39,1,100.402,195.45,1,Nico,Rosberg,Nico Rosberg,4.0,Chinese Grand Prix,2014
22198,903,4,6,14,5,3,3,3,15.0,54,23.604,5631942,48,4,102.081,192.235,1,Fernando,Alonso,Fernando Alonso,5.0,Chinese Grand Prix,2014
